"customer_city","customer_state","customer_count","total_revenue","avg_revenue_per_customer"
jardinopolis,SP,13,1851.48,142.4215384615384615
bom conselho,PE,7,1848.32,264.0457142857142857
jacunda,PA,6,1844.82,307.4700000000000000
sidrolandia,MS,11,1842.53,167.5027272727272727
nova russas,CE,7,1842.03,263.1471428571428571
carmo,RJ,13,1839.51,141.5007692307692308
torres,RS,17,1833.32,107.8423529411764706
itatinga,SP,4,1832.10,458.0250000000000000
corrente,PI,4,1831.15,457.7875000000000000
caconde,SP,10,1829.57,182.9570000000000000
gameleira,PE,4,1827.12,456.7800000000000000
teutonia,RS,14,1826.22,130.4442857142857143
candido mota,SP,16,1824.10,114.0062500000000000
beberibe,CE,3,1823.91,607.9700000000000000
pojuca,BA,13,1820.78,140.0600000000000000
sao francisco de itabapoana,RJ,15,1816.41,121.0940000000000000
santa rita,PB,7,1815.86,259.4085714285714286
balneario picarras,SC,10,1815.30,181.5300000000000000
ibia,MG,9,1811.61,201.2900000000000000
paraibuna,SP,10,1810.75,181.0750000000000000
guariba,SP,14,1810.72,129.3371428571428571
limoeiro do norte,CE,12,1806.86,150.5716666666666667
ipueiras,CE,3,1805.78,601.9266666666666667
quatro bocas,PA,5,1804.79,360.9580000000000000
morrinhos,GO,14,1804.72,128.9085714285714286
pomerode,SC,9,1797.55,199.7277777777777778
nova olinda,CE,3,1792.93,597.6433333333333333
senador canedo,GO,16,1790.29,111.8931250000000000
quirinopolis,GO,14,1789.80,127.8428571428571429
pirajui,SP,12,1789.32,149.1100000000000000
minacu,GO,11,1787.83,162.5300000000000000
vazante,MG,6,1780.31,296.7183333333333333
santo amaro de campos,RJ,6,1777.56,296.2600000000000000
sao felix do xingu,PA,8,1774.08,221.7600000000000000
cruz,CE,7,1772.56,253.2228571428571429
santana do jacare,MG,4,1769.22,442.3050000000000000
currais novos,RN,8,1769.09,221.1362500000000000
boa esperanca,MG,11,1769.00,160.8181818181818182
afonso claudio,ES,11,1767.92,160.7200000000000000
jarinu,SP,19,1767.06,93.0031578947368421
catu,BA,10,1763.24,176.3240000000000000
itapipoca,CE,11,1761.25,160.1136363636363636
nova esperanca,PR,8,1760.46,220.0575000000000000
imbuia,SC,4,1759.81,439.9525000000000000
carmopolis de minas,MG,5,1756.72,351.3440000000000000
vitorino freire,MA,3,1744.37,581.4566666666666667
bezerros,PE,11,1739.95,158.1772727272727273
jacarezinho,PR,17,1738.60,102.2705882352941176
guaramirim,SC,13,1736.26,133.5584615384615385
santa helena de goias,GO,9,1733.68,192.6311111111111111
flores da cunha,RS,12,1732.57,144.3808333333333333
ibatiba,ES,9,1724.60,191.6222222222222222
nova olinda do maranhao,MA,4,1724.33,431.0825000000000000
mostardas,RS,11,1720.33,156.3936363636363636
embu,SP,11,1719.66,156.3327272727272727
reginopolis,SP,3,1719.32,573.1066666666666667
entre rios de minas,MG,7,1709.62,244.2314285714285714
dom pedrito,RS,10,1708.09,170.8090000000000000
cordeiropolis,SP,16,1705.29,106.5806250000000000
sao bento do una,PE,5,1702.22,340.4440000000000000
malacacheta,MG,7,1702.21,243.1728571428571429
aracoiaba da serra,SP,11,1701.76,154.7054545454545455
marituba,PA,15,1699.50,113.3000000000000000
buenopolis,MG,5,1698.09,339.6180000000000000
lambari,MG,8,1692.91,211.6137500000000000
piranguinho,MG,9,1689.85,187.7611111111111111
andira,PR,11,1688.59,153.5081818181818182
toropi,RS,3,1682.98,560.9933333333333333
palmares,PE,9,1682.92,186.9911111111111111
pimenta bueno,RO,8,1682.01,210.2512500000000000
correia pinto,SC,11,1680.18,152.7436363636363636
mata de sao joao,BA,12,1679.07,139.9225000000000000
cassilandia,MS,5,1677.59,335.5180000000000000
cabedelo,PB,7,1677.57,239.6528571428571429
bastos,SP,17,1673.94,98.4670588235294118
crissiumal,RS,2,1671.30,835.6500000000000000
